Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
gene-rps4,305,848,28.7164%,99.6721%,0.99920542,0.09210374,0.03802737,0.00577031,0.00002680,0.03225706,0.00017144,81.6393%,38.1753%
gene-rps7,299,680,31.4593%,91.3043%,0.97437163,0.03418481,0.01155593,0.00247163,0.00003204,0.00908431,0.00006180,46.8227%,40.3805%
gene-rps8,304,486,17.0322%,100.0000%,1.00000000,0.12858090,0.04702443,0.00848182,0.00003039,0.03854261,0.00009814,87.8289%,35.6730%
gene-rrn16,281,1965,24.0613%,95.0178%,0.98463566,0.01308504,0.00435775,0.00071123,0.00000875,0.00364652,0.00002500,47.3310%,56.4472%
gene-rrn23,281,3253,13.6852%,100.0000%,1.00000000,0.02098716,0.00541961,0.00093333,0.00000421,0.00448628,0.00002122,80.4270%,54.9928%
gene-rrn4,274,300,64.9136%,37.5912%,0.54312713,0.02664644,0.00529186,0.00173150,0.00002104,0.00356036,0.00003114,21.5328%,49.5371%
gene-rrn5,280,255,52.2479%,30.3571%,0.49469588,0.01882032,0.01057760,0.00214957,0.00007297,0.00842803,0.00023364,14.6429%,51.6879%
gene-trnA,7,901,4.3761%,100.0000%,1.00000000,0.06680408,0.01062966,0.00121094,0.00030169,0.00941872,0.00120126,42.8571%,51.4508%
gene-trnA_AGC,2,88,0.5682%,100.0000%,1.00000000,0.03409091,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.8571%
gene-trnA_GGC,2,71,0.0000%,100.0000%,1.00000000,0.01408451,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
gene-trnA_TGC,7,897,4.4752%,100.0000%,1.00000000,0.08085152,0.01370494,0.00330234,0.00062268,0.01040260,0.00098586,57.1429%,51.4838%
gene-trnA_UGC,283,1708,49.4406%,98.5866%,0.99652919,0.05309114,0.01277957,0.00282491,0.00008231,0.00995466,0.00014730,60.0707%,51.3213%
gene-trnC,5,75,5.6000%,100.0000%,1.00000000,0.10533333,0.02999455,0.00915202,0.00104337,0.02084253,0.00473029,40.0000%,60.7345%
gene-trnC_ACA,7,720,30.0000%,85.7143%,0.89822652,0.49742063,0.14152200,0.10190413,0.03829983,0.03961787,0.00432715,57.1429%,38.8889%
gene-trnC_GCA,298,889,91.1838%,52.3490%,0.77307637,0.02058198,0.00999443,0.00558844,0.00010748,0.00440598,0.00003575,32.5503%,58.3233%
gene-trnD,5,74,0.0000%,60.0000%,0.59043628,0.01351351,0.00545888,0.00272430,0.00136195,0.00273458,0.00109363,40.0000%,61.3514%
gene-trnD_AUC,2,1027,0.6329%,100.0000%,1.00000000,0.02629017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,49.8285%
gene-trnD_GTC,8,74,0.0000%,25.0000%,0.18118815,0.01351351,0.00704746,0.00000012,0.00000005,0.00704734,0.00233064,12.5000%,61.9932%
gene-trnD_GUC,286,104,28.7419%,17.1329%,0.38221607,0.01893916,0.00490370,0.00340266,0.00014594,0.00150105,0.00002155,10.8392%,61.9722%
gene-trnE,5,73,0.0000%,40.0000%,0.31091751,0.00547945,0.00278280,0.00000020,0.00000010,0.00278260,0.00111294,20.0000%,59.1781%
gene-trnE_TTC,9,73,0.0000%,55.5556%,0.64948347,0.01674277,0.00616241,0.00307510,0.00076872,0.00308730,0.00064165,33.3333%,58.7519%
gene-trnE_UUC,287,1018,92.5039%,24.3902%,0.51465324,0.01016926,0.00881053,0.00394993,0.00009048,0.00486060,0.00008609,19.1638%,57.8558%
gene-trnF,5,73,0.0000%,80.0000%,0.82772938,0.03561644,0.01416850,0.00859511,0.00146804,0.00557340,0.00136497,40.0000%,51.2329%
gene-trnfM,3,74,0.0000%,66.6667%,0.57938016,0.05405405,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,56.3063%
gene-trnfM_AUG,2,74,0.0000%,100.0000%,1.00000000,0.02702703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,56.0811%
gene-trnfM_CAT,4,74,0.0000%,100.0000%,1.00000000,0.05855856,0.03177790,0.00327171,0.00000000,0.02850619,0.00559947,25.0000%,56.4189%
gene-trnfM_CAU,244,78,5.4750%,35.2459%,0.62186436,0.04405403,0.00750112,0.00258201,0.00003001,0.00491911,0.00006106,20.4918%,55.9978%
gene-trnF_AAA,3,2714,27.4380%,100.0000%,1.00000000,0.63055760,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.0399%
gene-trnF_GAA,296,90,18.9489%,19.9324%,0.41993905,0.02973075,0.01269127,0.01070638,0.00058130,0.00198489,0.00003405,13.5135%,51.2458%
gene-trnG,12,950,24.6140%,100.0000%,1.00000000,0.29154705,0.11707380,0.01312538,0.00121518,0.10394842,0.00664303,75.0000%,33.7910%
gene-trnG_ACC,2,72,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,48.6111%
gene-trnG_GCC,257,1112,86.4282%,35.0195%,0.61175679,0.13523670,0.01238731,0.00426607,0.00006585,0.00812124,0.00008007,24.5136%,40.7802%
gene-trnG_TCC,4,892,8.8845%,100.0000%,1.00000000,0.24346039,0.09436795,0.01374065,0.00000000,0.08062730,0.01231910,25.0000%,35.7736%
gene-trnG_UCC,243,1896,65.8517%,90.5350%,0.96258153,0.19201916,0.05275498,0.01139780,0.00006066,0.04135717,0.00016739,86.8313%,34.1454%
gene-trnH,6,75,0.4444%,50.0000%,0.48419626,0.02488889,0.00690087,0.00227759,0.00107355,0.00462328,0.00108970,33.3333%,56.6964%
gene-trnH_AUG,2,73,0.0000%,100.0000%,1.00000000,0.01369863,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.4110%
gene-trnH_GTG,8,76,2.4671%,87.5000%,0.91666667,0.05169173,0.01929489,0.00343125,0.00000076,0.01586365,0.00277261,25.0000%,56.6610%
gene-trnH_GUG,282,88,15.5505%,32.6241%,0.56485140,0.03020207,0.00394065,0.00133221,0.00001669,0.00260844,0.00003053,14.8936%,56.7782%
gene-trnI,20,1117,31.5175%,80.0000%,0.86568911,0.39611271,0.07167928,0.06025802,0.01454246,0.01142126,0.00053786,65.0000%,49.7745%
gene-trnI_AAU,2,682,43.8416%,100.0000%,1.00000000,0.93988270,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.7311%
gene-trnI_CAU,247,79,6.3394%,12.5506%,0.25127596,0.01763552,0.00190154,0.00067092,0.00001240,0.00123062,0.00002627,7.2874%,45.9729%
gene-trnI_GAT,6,1083,5.0477%,100.0000%,1.00000000,0.06771314,0.01465510,0.00660147,0.00221008,0.00805363,0.00202044,50.0000%,49.6759%
gene-trnI_GAU,264,1634,39.7326%,98.1061%,0.99269688,0.07288988,0.00961977,0.00154132,0.00000774,0.00807844,0.00004152,62.1212%,49.7659%
gene-trnK,11,2998,13.9062%,100.0000%,1.00000000,0.22650252,0.11825568,0.01544043,0.00121780,0.10281526,0.00470501,72.7273%,33.4108%
gene-trnK_TTT,6,2812,7.4028%,100.0000%,1.00000000,0.24374111,0.10952070,0.03793468,0.00640947,0.07158602,0.00787044,50.0000%,35.1021%
gene-trnK_UUU,272,7383,64.9870%,100.0000%,1.00000000,0.11041413,0.07600949,0.01433418,0.00006610,0.06167531,0.00013730,98.5294%,33.3011%
gene-trnL,5,650,38.9846%,100.0000%,1.00000000,0.58015385,0.18341252,0.06163957,0.02461015,0.12177295,0.01803750,40.0000%,36.3086%
gene-trnL_CAA,298,91,11.0148%,14.0940%,0.31236706,0.02243742,0.00693269,0.00322158,0.00011043,0.00371111,0.00016480,10.4027%,51.4028%
gene-trnL_GAG,4,81,0.0000%,25.0000%,0.00000000,0.00000000,0.00000075,0.00000025,0.00000000,0.00000050,0.00000012,25.0000%,50.6173%
gene-trnL_TAA,6,698,26.5521%,100.0000%,1.00000000,0.44527221,0.15039308,0.03753786,0.00564441,0.11285522,0.02870298,50.0000%,35.8257%
gene-trnL_TAG,8,80,0.0000%,87.5000%,0.91666667,0.02366071,0.00948133,0.00315573,0.00000244,0.00632560,0.00079060,25.0000%,57.0312%
gene-trnL_UAA,283,3399,82.0624%,100.0000%,1.00000000,0.06814486,0.06385189,0.01436476,0.00004917,0.04948713,0.00011915,93.6396%,34.7892%
gene-trnL_UAG,285,120,33.2339%,22.4561%,0.52776509,0.02139507,0.00391103,0.00154000,0.00001515,0.00237104,0.00002894,20.0000%,56.9326%
gene-trnM,9,75,2.2222%,77.7778%,0.83333333,0.28333333,0.15198245,0.10271622,0.02952080,0.04926623,0.01336259,44.4444%,45.3030%
gene-trnM_CAT,9,75,2.2222%,88.8889%,0.92989669,0.35296296,0.17520561,0.13496586,0.03113815,0.04023974,0.01027609,55.5556%,46.9697%
gene-trnM_CAU,285,93,21.8148%,28.4211%,0.60350372,0.16117501,0.01010678,0.00825636,0.00027411,0.00185042,0.00002626,21.4035%,43.3914%
gene-trnN,6,72,0.0000%,83.3333%,0.87104906,0.02962963,0.01424655,0.00468030,0.00000000,0.00956624,0.00265929,33.3333%,53.2407%
gene-trnN_GTT,7,72,0.0000%,85.7143%,0.89822652,0.02777778,0.01213445,0.00202052,0.00000000,0.01011393,0.00141953,14.2857%,53.5714%
gene-trnN_GUU,286,82,12.0501%,18.8811%,0.43873421,0.02396384,0.00342294,0.00122679,0.00001579,0.00219616,0.00004239,12.2378%,53.6362%
gene-trnP,4,74,0.0000%,50.0000%,0.40563906,0.00675676,0.00342824,0.00000025,0.00000000,0.00342799,0.00148422,25.0000%,48.3108%
gene-trnP_GGG,15,74,3.6036%,33.3333%,0.45395621,0.02213642,0.00472317,0.00092718,0.00029134,0.00379599,0.00073155,20.0000%,50.7477%
gene-trnP_TGG,8,75,1.1667%,50.0000%,0.51626498,0.01238095,0.00342423,0.00171283,0.00074161,0.00171140,0.00056585,25.0000%,48.3980%
gene-trnP_UGG,286,86,13.8315%,14.3357%,0.31291606,0.01857327,0.00470163,0.00334243,0.00016031,0.00135920,0.00002401,9.7902%,48.7874%
gene-trnQ,6,75,3.7778%,100.0000%,1.00000000,0.08977778,0.03953573,0.00307994,0.00079757,0.03645579,0.01184789,33.3333%,58.4296%
gene-trnQ_TTG,7,72,0.0000%,85.7143%,0.89822652,0.04828042,0.01830425,0.01016219,0.00195117,0.00814207,0.00147644,42.8571%,59.3254%
gene-trnQ_UUG,287,92,21.5725%,44.2509%,0.69466970,0.04807123,0.01419160,0.00738440,0.00029043,0.00680720,0.00005366,26.4808%,59.6822%
gene-trnR,7,72,0.0000%,42.8571%,0.49113259,0.01058201,0.00399726,0.00199867,0.00094208,0.00199858,0.00069918,28.5714%,42.6587%
gene-trnR_ACG,294,81,8.5370%,8.1633%,0.15709600,0.00664937,0.00128065,0.00036813,0.00000777,0.00091252,0.00002187,5.7823%,62.1597%
gene-trnR_TCT,9,72,0.0000%,33.3333%,0.31118299,0.00925926,0.00474096,0.00000011,0.00000004,0.00474085,0.00105633,11.1111%,42.9012%
gene-trnR_UCU,280,92,21.6654%,13.9286%,0.25278966,0.01018611,0.00244648,0.00082721,0.00001181,0.00161927,0.00002792,8.5714%,42.8812%
gene-trnS,10,93,4.5161%,100.0000%,1.00000000,0.20047790,0.07579736,0.05488709,0.01008252,0.02091027,0.00201240,60.0000%,50.6757%
gene-trnS_AGA,3,602,58.6932%,100.0000%,1.00000000,0.62126246,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.8633%
gene-trnS_CGA,22,1083,28.3262%,100.0000%,1.00000000,0.19520492,0.09659786,0.01899546,0.00062202,0.07760240,0.00153763,86.3636%,33.6066%
gene-trnS_GCT,7,88,0.9740%,85.7143%,0.89822652,0.08603896,0.03092207,0.01066182,0.00199249,0.02026026,0.00348179,42.8571%,51.4754%
gene-trnS_GCU,282,107,17.7172%,60.2837%,0.82989063,0.04141767,0.01073557,0.00373555,0.00002875,0.00700001,0.00007324,37.9433%,51.5386%
gene-trnS_GGA,286,792,88.4125%,32.1678%,0.52642057,0.01622575,0.00739482,0.00420355,0.00011866,0.00319127,0.00003413,19.9301%,50.2686%
gene-trnS_TGA,8,93,0.6720%,100.0000%,1.00000000,0.06835637,0.02664450,0.00798379,0.00063964,0.01866071,0.00306656,50.0000%,49.5264%
gene-trnS_UGA,285,96,4.2617%,63.5088%,0.85428602,0.07383479,0.00891147,0.00334140,0.00002862,0.00557006,0.00003222,33.3333%,49.1296%
gene-trnT,6,73,0.9132%,66.6667%,0.69342640,0.14520548,0.05804946,0.05106260,0.02553085,0.00698685,0.00177814,33.3333%,50.4608%
gene-trnT_CGU,6,887,37.9369%,100.0000%,1.00000000,0.55445321,0.20383439,0.18226482,0.05427859,0.02156957,0.00486755,50.0000%,33.9086%
gene-trnT_GGT,8,72,0.0000%,50.0000%,0.60375937,0.03273810,0.01279902,0.00351159,0.00087777,0.00928742,0.00307139,50.0000%,48.6111%
gene-trnT_GGU,282,92,21.6620%,23.4043%,0.44063527,0.02424960,0.00669317,0.00151742,0.00001847,0.00517575,0.00009638,13.1206%,48.6322%
gene-trnT_TGT,8,73,0.1712%,87.5000%,0.91666667,0.02886497,0.01220663,0.00346838,0.00000957,0.00873825,0.00174012,25.0000%,53.5163%
gene-trnT_UGU,284,80,8.6928%,25.7042%,0.50415995,0.02459532,0.00382933,0.00155452,0.00001938,0.00227481,0.00002686,14.4366%,53.0827%
gene-trnUNKNOWN_CUA,2,80,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,55.0000%
gene-trnUNKNOWN_UCA,2,93,0.0000%,100.0000%,1.00000000,0.03225806,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
gene-trnUNKNOWN_UUA,2,627,2.4721%,100.0000%,1.00000000,0.12918660,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.3859%
gene-trnV,8,745,30.0839%,100.0000%,1.00000000,0.45838926,0.17120397,0.12744620,0.04771998,0.04375777,0.00490144,62.5000%,37.3890%
gene-trnV_AAC,2,72,0.0000%,100.0000%,1.00000000,0.01388889,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,53.4722%
gene-trnV_CAC,3,82,10.5691%,66.6667%,0.57938016,0.42276423,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,54.0909%
gene-trnV_GAC,297,74,2.9894%,13.8047%,0.21503198,0.02069545,0.00510162,0.00326796,0.00015469,0.00183366,0.00002646,6.7340%,48.5906%
gene-trnV_TAC,3,678,4.2281%,100.0000%,1.00000000,0.13864307,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.2464%
gene-trnV_UAC,265,1577,58.0845%,99.6226%,0.99906245,0.09738796,0.04520022,0.00926798,0.00006962,0.03593224,0.00009899,94.3396%,38.0837%
gene-trnW,5,74,0.0000%,100.0000%,1.00000000,0.03783784,0.01950812,0.00555191,0.00000117,0.01395622,0.00308525,40.0000%,51.8919%
gene-trnW_CCA,297,75,1.4860%,24.5791%,0.50800641,0.03201656,0.02249217,0.02076278,0.00123811,0.00172939,0.00002084,17.1717%,51.3990%
gene-trnY,5,84,0.0000%,40.0000%,0.31091751,0.00476190,0.00240775,0.00000020,0.00000010,0.00240755,0.00096292,20.0000%,54.5238%
gene-trnY_GTA,8,84,0.0000%,62.5000%,0.66666667,0.02848639,0.01232355,0.00301798,0.00075445,0.00930556,0.00170737,37.5000%,55.3571%
gene-trnY_GUA,288,693,87.2795%,20.8333%,0.40937812,0.01505532,0.00518280,0.00323196,0.00013707,0.00195084,0.00002519,14.5833%,53.9231%
gene-ycf1,275,14702,77.8238%,100.0000%,1.00000000,0.20929129,0.08118010,0.01640693,0.00006139,0.06477317,0.00027803,98.1818%,31.2881%
gene-ycf10,2,690,13.0435%,100.0000%,1.00000000,0.32898551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6667%
gene-ycf15,87,767,72.4318%,100.0000%,1.00000000,0.22515053,0.04694324,0.01687929,0.00089677,0.03006394,0.00080417,54.0230%,39.8619%
gene-ycf2,289,15659,57.2424%,100.0000%,1.00000000,0.07090356,0.02468219,0.00292717,0.00001794,0.02175502,0.00012874,95.8478%,37.7401%
gene-ycf3,278,5750,66.0164%,100.0000%,1.00000000,0.08615227,0.04432970,0.00876942,0.00003186,0.03556028,0.00008395,97.4820%,36.5560%
gene-ycf4,278,783,29.1220%,100.0000%,1.00000000,0.08634676,0.03950984,0.00614099,0.00002474,0.03336885,0.00011992,86.3309%,38.7677%
gene-ycf68,13,527,43.4389%,100.0000%,1.00000000,0.34291831,0.02023094,0.00381055,0.00035129,0.01642039,0.00145937,61.5385%,50.4774%
gene-ycf9,2,189,0.0000%,100.0000%,1.00000000,0.03703704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.5079%
intron-accD.1,7,4297,61.9303%,100.0000%,1.00000000,0.54479870,0.43369651,0.07214696,0.00837791,0.36154955,0.01770137,57.1429%,36.1191%
intron-atpF.1,290,4162,81.7366%,100.0000%,1.00000000,0.07508210,0.06818644,0.01467456,0.00004847,0.05351187,0.00011809,96.8966%,31.6244%
intron-clpP.1,252,4169,80.2111%,100.0000%,1.00000000,0.08913562,0.08563293,0.01855627,0.00007560,0.06707666,0.00018705,97.2222%,32.5584%
intron-clpP.2,248,2842,77.5699%,100.0000%,1.00000000,0.09456173,0.07794598,0.01613590,0.00006043,0.06181008,0.00015745,97.5806%,31.4585%
intron-clpp1.1,26,1351,39.9533%,100.0000%,1.00000000,0.25303877,0.13349539,0.02040299,0.00054954,0.11309240,0.00228070,88.4615%,33.0125%
intron-clpp1.2,25,982,35.2301%,100.0000%,1.00000000,0.24698235,0.12501103,0.01931678,0.00060445,0.10569425,0.00187678,88.0000%,31.7779%
intron-ndhA.1,283,5253,79.1739%,100.0000%,1.00000000,0.09601784,0.09156770,0.01936047,0.00006548,0.07220723,0.00014708,98.5866%,31.1052%
intron-ndhB.1,285,1326,48.1945%,98.9474%,0.99741838,0.03531801,0.00898536,0.00172294,0.00001044,0.00726242,0.00002927,52.2807%,38.9814%
intron-pafI.1,22,1050,29.4372%,100.0000%,1.00000000,0.18712843,0.09110765,0.01563003,0.00056162,0.07547762,0.00176838,86.3636%,37.5031%
intron-pafI.2,22,1125,33.1919%,100.0000%,1.00000000,0.19837614,0.09630674,0.01569897,0.00053039,0.08060777,0.00175512,86.3636%,33.4744%
intron-petB.1,285,3528,78.0682%,100.0000%,1.00000000,0.08800527,0.07213081,0.01485181,0.00004799,0.05727900,0.00012890,96.1404%,32.7571%
intron-petD.1,268,5147,85.4203%,100.0000%,1.00000000,0.05753899,0.06852255,0.01357736,0.00004962,0.05494519,0.00012668,97.0149%,35.8904%
intron-rpl16.1,264,6663,84.5767%,100.0000%,1.00000000,0.08284996,0.09985303,0.02130530,0.00006960,0.07854773,0.00017617,97.7273%,30.5792%
intron-rpl2.1,259,1131,41.3042%,99.6139%,0.99903677,0.05209737,0.01391733,0.00227539,0.00001350,0.01164194,0.00005937,64.0927%,39.0940%
intron-rpoc1.1,294,2897,73.8002%,100.0000%,1.00000000,0.09021929,0.06375944,0.01260679,0.00004166,0.05115265,0.00011620,94.2177%,35.5128%
intron-rps12.1,23,584,8.4723%,100.0000%,1.00000000,0.05869294,0.01959645,0.00221019,0.00012641,0.01738626,0.00157356,56.5217%,38.9865%
intron-rps12.2,262,13211,95.5816%,97.3282%,0.99263108,0.00970190,0.01167993,0.00358376,0.00016504,0.00809617,0.00007361,49.2366%,39.3538%
intron-rps16.1,258,6322,86.1686%,100.0000%,1.00000000,0.05950153,0.08239593,0.01675885,0.00006237,0.06563708,0.00016876,96.5116%,33.1665%
intron-rps3.1,2,69,41.3043%,100.0000%,1.00000000,0.86956522,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.5679%
intron-trnA.1,7,827,4.6640%,100.0000%,1.00000000,0.07243623,0.01159686,0.00108154,0.00035463,0.01051531,0.00129573,28.5714%,51.0056%
intron-tRNA_Ala.1,3,827,1.8138%,100.0000%,1.00000000,0.05683192,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,51.0263%
intron-tRNA_Gly.1,3,734,6.1762%,100.0000%,1.00000000,0.20163488,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,31.6070%
intron-tRNA_Ile.1,3,954,0.9783%,100.0000%,1.00000000,0.04367575,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,48.9767%
intron-tRNA_Leu.1,3,532,6.3910%,100.0000%,1.00000000,0.20050125,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.6051%
intron-tRNA_Lys.1,2,2545,2.0236%,100.0000%,1.00000000,0.19528487,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6248%
intron-trnA_TGC.1,7,824,4.8717%,100.0000%,1.00000000,0.08760980,0.01442000,0.00359657,0.00071920,0.01082343,0.00097098,57.1429%,51.0297%
intron-trnA_UGC.1,280,1429,44.0993%,99.6429%,0.99912134,0.04923358,0.01008206,0.00186468,0.00001021,0.00821738,0.00003742,58.2143%,50.8745%
intron-tRNA_Val.1,3,614,5.0489%,100.0000%,1.00000000,0.17263844,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.7930%
intron-trnC_ACA.1,5,648,7.0370%,100.0000%,1.00000000,0.18302469,0.07781977,0.01315772,0.00331518,0.06466205,0.00374858,40.0000%,36.6534%
intron-trnC_GCA.1,3,814,7.6167%,100.0000%,1.00000000,0.46109746,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,45.5674%
intron-trnD_AUC.1,2,955,0.6806%,100.0000%,1.00000000,0.02722513,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,49.1302%
intron-trnE_UUC.1,6,1037,8.4057%,100.0000%,1.00000000,0.10369656,0.02835496,0.00367667,0.00078204,0.02467829,0.00161334,50.0000%,48.9735%
intron-trnF_AAA.1,3,2638,28.2664%,100.0000%,1.00000000,0.63507708,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.2530%
intron-trnG.1,11,896,21.3778%,100.0000%,1.00000000,0.20951705,0.10879500,0.01058245,0.00092535,0.09821255,0.00432771,72.7273%,31.7331%
intron-trnG_GCC.1,28,1069,33.4492%,100.0000%,1.00000000,0.16210571,0.07152729,0.01670672,0.00052529,0.05482057,0.00118831,85.7143%,31.7068%
intron-trnG_TCC.1,4,821,9.6529%,100.0000%,1.00000000,0.26492083,0.10551121,0.01493285,0.00000000,0.09057836,0.01403269,25.0000%,34.0074%
intron-trnG_UCC.1,203,1856,62.6415%,100.0000%,1.00000000,0.12713780,0.06418152,0.01243589,0.00005654,0.05174563,0.00016620,95.5665%,31.8221%
intron-trnI.1,19,1085,17.2302%,100.0000%,1.00000000,0.15664969,0.03120067,0.00244815,0.00015661,0.02875252,0.00323202,68.4211%,49.0125%
intron-trnI_GAT.1,6,1011,5.5885%,100.0000%,1.00000000,0.07260138,0.01433061,0.00711756,0.00238490,0.00721305,0.00171504,50.0000%,48.8912%
intron-trnI_GAU.1,263,1582,42.1991%,99.2395%,0.99775101,0.07283638,0.01025313,0.00172664,0.00000968,0.00852649,0.00004425,58.9354%,48.9704%
intron-trnK.1,11,2932,14.4301%,100.0000%,1.00000000,0.23144611,0.12191535,0.01564825,0.00125541,0.10626709,0.00485152,72.7273%,32.8140%
intron-trnK_TTT.1,6,2740,7.5973%,100.0000%,1.00000000,0.25021898,0.11316753,0.03919616,0.00675217,0.07397138,0.00816053,50.0000%,34.5270%
intron-trnK_UUU.1,268,7403,65.6738%,100.0000%,1.00000000,0.10492015,0.07845786,0.01348867,0.00004929,0.06496919,0.00015820,98.8806%,32.7009%
intron-trnL.1,4,592,12.7111%,100.0000%,1.00000000,0.27308559,0.09568106,0.00640147,0.00000000,0.08927959,0.01170666,25.0000%,33.5269%
intron-trnL_TAA.1,5,612,15.9477%,100.0000%,1.00000000,0.30490196,0.09906031,0.04189768,0.01235811,0.05716263,0.00414415,40.0000%,34.7589%
intron-trnL_UAA.1,282,3170,83.4427%,100.0000%,1.00000000,0.07269185,0.07348381,0.01576189,0.00005212,0.05772192,0.00014040,94.6809%,32.6629%
intron-trnS_CGA.1,22,1002,31.3373%,100.0000%,1.00000000,0.21963000,0.11079723,0.02044274,0.00070210,0.09035449,0.00182739,86.3636%,31.5473%
intron-trnS_GGA.1,2,719,2.0167%,100.0000%,1.00000000,0.13212796,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,31.7246%
intron-trnT_CGU.1,4,805,11.6460%,100.0000%,1.00000000,0.25693582,0.11110147,0.01515754,0.00000000,0.09594393,0.02438522,25.0000%,30.5097%
intron-trnUNKNOWN_UUA.1,2,542,2.8598%,100.0000%,1.00000000,0.14391144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.6629%
intron-trnV.1,6,685,13.0414%,100.0000%,1.00000000,0.19931873,0.07346738,0.01057550,0.00159713,0.06289188,0.00724440,50.0000%,35.2826%
intron-trnV_TAC.1,3,604,4.7461%,100.0000%,1.00000000,0.15452539,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.7022%
intron-trnV_UAC.1,261,1514,60.8279%,100.0000%,1.00000000,0.09512124,0.04950214,0.00906517,0.00003546,0.04043697,0.00011411,92.3372%,36.4229%
intron-trnY_GUA.1,3,992,27.8562%,100.0000%,1.00000000,0.50168011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.6614%
intron-ycf1.1,6,201,67.9104%,100.0000%,1.00000000,0.43548922,0.41286423,0.11399777,0.01680923,0.29886646,0.03419370,50.0000%,29.1990%
intron-ycf1.2,2,43,9.3023%,100.0000%,1.00000000,0.62790698,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.0513%
intron-ycf15.1,3,331,16.3142%,100.0000%,1.00000000,0.34239678,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.8604%
intron-ycf2.1,3,297,32.3232%,100.0000%,1.00000000,0.63748597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.6352%
intron-ycf3.1,276,2439,69.8384%,100.0000%,1.00000000,0.08231510,0.05460655,0.01250010,0.00012159,0.04210645,0.00009982,94.2029%,37.6711%
intron-ycf3.2,267,2686,72.1854%,100.0000%,1.00000000,0.08061517,0.05298418,0.01070176,0.00003969,0.04228242,0.00010636,94.7566%,33.6472%
intron-ycf68.1,2,28,25.0000%,100.0000%,1.00000000,0.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,54.7619%
misc_feature-junctionL,8,2,0.0000%,62.5000%,0.71854635,0.66071429,0.33846970,0.24765833,0.04283198,0.09081137,0.03003280,50.0000%,43.7500%
misc_feature-junctionS,9,2,0.0000%,55.5556%,0.69312672,0.61111111,2.39538277,2.33056053,0.52701067,0.06482224,0.01347444,55.5556%,27.7778%
misc_feature-shortS,4,20542,10.2315%,100.0000%,1.00000000,0.28749229,0.13714951,0.00742129,0.00000000,0.12972822,0.00405828,25.0000%,30.9744%
misc_feature-smallS,59,32944,49.7905%,100.0000%,1.00000000,0.27193587,0.12415467,0.02527722,0.00034010,0.09887745,0.00156695,94.9153%,31.0753%
misc_feature-ssC,6,22029,21.5542%,100.0000%,1.00000000,0.36117845,0.15099087,0.01881740,0.00272729,0.13217347,0.00464005,50.0000%,31.3372%
